"Rk","Player","Age","Team","conference","division","Pos","Pos_cat","G","GS","GS.","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Awards","all_star","rank_topbottom10"
83,"Noah Clowney",21,"BRK","East","Atlantic","PF","PF",52,46,0.885,1475,5,12.6,0.398,2.7,8.1,0.331,2.3,4.5,0.516,0.504,3.6,4.6,0.793,1.2,4.1,5.3,2.2,1,0.9,2.1,3.5,16.4,"",0,NA
84,"John Collins",28,"LAC","West","Pacific","PF","PF",53,44,0.83,1474,7,12.4,0.565,1.8,4.2,0.427,5.2,8.2,0.636,0.637,2.1,2.6,0.778,1.8,4.9,6.7,1.2,1.1,1.1,1.8,3.5,17.8,"",0,NA
86,"Nikola Jokić",30,"DEN","West","Northwest","C","C",43,43,1,1472,10.6,18.4,0.577,2.1,5.1,0.413,8.5,13.3,0.64,0.634,6.9,8.4,0.83,3.3,9.9,13.2,11,1.5,0.8,3.9,2.9,30.3,"AS",1,NA
87,"Norman Powell",32,"MIA","East","Southeast","SG","SG",49,49,1,1470,9,19,0.473,3.4,8.7,0.39,5.6,10.3,0.543,0.563,5.6,6.8,0.827,0.4,3.9,4.4,3.1,1.4,0.3,2.4,2.6,27,"AS",1,NA
88,"Evan Mobley",24,"CLE","East","Central","PF","PF",45,43,0.956,1470,7.5,14.6,0.514,1.2,4,0.305,6.3,10.6,0.594,0.556,3.1,4.9,0.635,2.5,7,9.5,4.3,1,2,2.3,2.8,19.3,"",0,NA
89,"Devin Booker",29,"PHO","West","Pacific","SG","SG",44,44,1,1467,8.8,19.3,0.454,1.8,5.9,0.308,7,13.4,0.518,0.501,7.3,8.5,0.861,0.9,3.4,4.2,6.6,1,0.3,3.5,2.9,26.7,"AS",1,NA
90,"Stephon Castle",21,"SAS","West","Southwest","PG","PG",49,48,0.98,1456,6.9,14.7,0.467,1.3,4.3,0.293,5.6,10.4,0.539,0.51,5.1,7,0.725,1.5,4.5,6,8.3,1.6,0.4,4,4,20.1,"",0,NA
92,"Jaren Jackson Jr.",26,"2TM",NA,NA,"C","C",48,48,1,1454,8.5,17.8,0.476,2.1,5.8,0.357,6.4,12,0.533,0.534,4,5,0.803,1,5.7,6.7,2.3,1.3,1.7,2.6,4.4,23.1,"",0,NA
92,"Jaren Jackson Jr.",26,"MEM","West","Southwest","C","C",45,45,1,1382,8.3,17.5,0.475,2.1,5.7,0.359,6.2,11.7,0.531,0.534,3.9,4.9,0.797,1.1,5.7,6.7,2.2,1.2,1.8,2.6,4.4,22.5,"",0,NA
92,"Jaren Jackson Jr.",26,"UTA","West","Northwest","C","C",3,3,1,72,12,24.5,0.49,2.5,7.5,0.333,9.5,17,0.559,0.541,7,8,0.875,0.5,6,6.5,4,3,0.5,3.5,4.5,33.5,"",0,NA
93,"Moses Moody",23,"GSW","West","Pacific","SG","SG",57,46,0.807,1451,5.7,12.8,0.446,3.5,8.6,0.405,2.2,4.1,0.53,0.583,2.1,2.7,0.771,1.2,3.5,4.7,2.3,1.3,0.8,1.3,2.8,16.9,"",0,NA
94,"Lauri Markkanen",28,"UTA","West","Northwest","PF","PF",42,42,1,1443,9.6,20.1,0.477,2.9,8.1,0.355,6.7,12,0.559,0.548,6,6.7,0.896,2.1,5.1,7.2,2.2,1,0.5,1.6,1.9,28,"",0,NA
96,"Kawhi Leonard",34,"LAC","West","Pacific","SF","SF",44,44,1,1441,10.7,21.7,0.494,2.9,7.7,0.381,7.8,14.1,0.556,0.561,6.4,7.1,0.905,1.1,5.9,7,4.1,2.2,0.6,2.4,1.4,30.8,"AS",1,NA
97,"Shaedon Sharpe",22,"POR","West","Northwest","SG","SG",48,42,0.875,1439,9.7,21.2,0.456,2.5,7.4,0.34,7.1,13.8,0.518,0.515,3.8,4.9,0.784,1.2,4.1,5.3,3.2,1.7,0.2,3.6,2.4,25.6,"",0,NA
98,"Kyle Kuzma",30,"MIL","East","Central","PF","PF",54,30,0.556,1436,6.6,13.8,0.479,1.5,4.4,0.335,5.1,9.4,0.547,0.533,2.8,3.9,0.724,1.3,5.4,6.6,3.4,0.9,0.5,2.1,2.7,17.5,"",0,NA
99,"Josh Hart",30,"NYK","East","Atlantic","SF","SF",47,33,0.702,1428,5.3,10.7,0.494,1.8,4.5,0.397,3.5,6.2,0.565,0.578,1.7,2.3,0.725,1.7,7.2,8.8,6.2,1.3,0.4,2.4,2.9,14,"",0,NA
101,"Davion Mitchell",27,"MIA","East","Southeast","PG","PG",49,49,1,1408,4.3,9.2,0.472,1.5,3.7,0.41,2.8,5.5,0.514,0.554,0.9,1.4,0.66,0.5,2.8,3.2,8.7,1.4,0.2,2.1,3.4,11.1,"",0,NA
102,"Deandre Ayton",27,"LAL","West","Pacific","C","C",50,50,1,1406,7.5,11.3,0.665,0,0,NA,7.5,11.3,0.665,0.665,1.6,2.3,0.678,3.2,7.6,10.8,1.1,0.8,1.2,1.7,3,16.6,"",0,NA
103,"Devin Vassell",25,"SAS","West","Southwest","SG","SG",46,44,0.957,1406,6.1,13.9,0.438,3,7.8,0.383,3.1,6.1,0.508,0.545,1.8,2.1,0.841,0.6,3.9,4.5,2.8,1,0.5,1.1,1.9,16.9,"",0,NA
104,"Rui Hachimura",27,"LAL","West","Pacific","PF","PF",47,31,0.66,1387,5.6,11.1,0.506,2.2,5,0.44,3.4,6.1,0.559,0.604,0.9,1.3,0.735,0.7,3.4,4.1,1.1,0.7,0.4,0.9,1.9,14.3,"",0,NA
106,"Ace Bailey",19,"UTA","West","Northwest","SF","SF",52,41,0.788,1380,6.6,14.7,0.448,2,6.1,0.332,4.6,8.6,0.529,0.516,1,1.4,0.722,2.2,3.2,5.4,2.3,1.1,0.7,1.7,3.5,16.2,"",0,NA
107,"Neemias Queta",26,"BOS","East","Atlantic","C","C",55,54,0.982,1378,6,9.3,0.639,0,0.2,0,6,9.2,0.65,0.639,2.2,3.2,0.689,4.3,7.7,11.9,2.2,1.2,1.9,1.6,4,14.1,"",0,NA
108,"LaMelo Ball",24,"CHO",NA,NA,"PG","PG",50,47,0.94,1377,8.9,22,0.403,4.6,12.5,0.366,4.3,9.5,0.452,0.507,3,3.3,0.898,1,5.2,6.3,9.6,1.4,0.3,3.8,3.3,25.3,"",0,NA
109,"Luguentz Dort",26,"OKC","West","Northwest","SF","SF",49,49,1,1373,4,10.3,0.389,2.5,7.1,0.346,1.5,3.1,0.487,0.509,0.8,1.1,0.762,1.1,3.7,4.8,1.7,1.2,0.6,1,3.7,11.3,"",0,NA
111,"Anfernee Simons",26,"CHI","East","Central","SG","SG",6,5,0.833,170,7.4,16.9,0.438,3.4,10.6,0.32,4,6.4,0.633,0.538,1.1,1.1,1,1.1,2.5,3.6,3.8,0,0.4,2.8,2.5,19.3,"",0,NA
112,"Ausar Thompson",23,"DET","East","Central","SF","SF",53,52,0.981,1370,5.9,11.5,0.511,0.2,0.6,0.286,5.7,10.9,0.523,0.518,2.3,3.9,0.577,3,5.2,8.1,4,2.7,1.1,2.1,3.8,14.1,"",0,NA
113,"Isaac Okoro",25,"CHI","East","Central","SG","SG",51,51,1,1357,4.5,9.8,0.459,1.6,4.6,0.337,2.9,5.2,0.569,0.539,1.9,2.3,0.807,1.6,2.2,3.8,2.1,0.9,0.6,0.9,3.2,12.5,"",0,NA
114,"Marcus Smart",31,"LAL","West","Pacific","SG","SG",48,41,0.854,1356,4,9.9,0.401,1.9,5.9,0.324,2,4,0.513,0.497,2.3,2.8,0.804,0.8,2.8,3.6,3.6,1.5,0.5,2,3.4,12.1,"",0,NA
115,"Kyshawn George",22,"WAS","East","Southeast","SF","SF",46,46,1,1354,6.5,14.8,0.436,2.5,6.7,0.371,4,8.1,0.49,0.52,2.7,3.3,0.808,1.1,5.3,6.4,5.6,1.2,1.1,3.3,4.4,18.1,"",0,NA
117,"LeBron James",41,"LAL","West","Pacific","SF","SF",40,40,1,1334,8.7,17.6,0.498,1.5,5,0.299,7.3,12.6,0.576,0.54,4.2,5.7,0.748,0.8,5.4,6.2,7.5,1.1,0.6,3.3,1.5,23.2,"AS",1,NA
119,"Ivica Zubac",28,"LAC","West","Pacific","C","C",43,42,0.977,1328,7.1,11.6,0.613,0,0,NA,7.1,11.6,0.613,0.613,2.5,3.6,0.705,4,8.8,12.8,2.6,0.4,1,2.2,2.8,16.8,"",0,NA
120,"Jarrett Allen",27,"CLE","East","Central","C","C",48,48,1,1321,7.8,12.3,0.633,0,0.3,0.1,7.7,12,0.645,0.634,4.2,5.8,0.735,3.4,7.8,11.3,2.5,1.3,1.2,1.8,2.3,19.8,"",0,NA
121,"Moussa Diabaté",24,"CHO",NA,NA,"C","C",52,26,0.5,1318,4.7,7.2,0.645,0,0.1,0.5,4.6,7.2,0.646,0.647,2.5,3.8,0.659,5.2,7,12.3,2.4,1,1.4,1.3,3.4,11.9,"",0,NA
122,"Zion Williamson",25,"NOP","West","Southwest","PF","PF",44,37,0.841,1317,9.8,16.8,0.585,0,0.1,0.25,9.8,16.7,0.588,0.586,6.6,9.3,0.714,2.7,4.5,7.2,4.2,1.3,0.7,2.6,2.8,26.3,"",0,NA
126,"Jalen Duren",22,"DET","East","Central","C","C",47,47,1,1307,9.3,14.6,0.636,0,0,NA,9.3,14.6,0.636,0.636,5,6.9,0.732,5,8.8,13.8,2.3,1.2,1,2.4,3.7,23.6,"AS",1,NA
127,"Victor Wembanyama",22,"SAS","West","Southwest","C","C",45,36,0.8,1307,10,20,0.501,2.1,6.2,0.347,7.9,13.8,0.571,0.555,7.2,8.8,0.815,2.5,11.3,13.8,3.6,1.2,3.5,3.1,3.4,29.4,"AS",1,NA
128,"Mark Williams",24,"PHO","West","Pacific","C","C",55,51,0.927,1300,7.1,11.2,0.635,0,0,1,7.1,11.2,0.635,0.637,3.4,4.3,0.771,4.7,7.5,12.3,1.6,1.4,1.4,1.6,3.4,17.7,"",0,NA
129,"P.J. Washington",27,"DAL","West","Southwest","PF","PF",42,39,0.929,1300,6.3,14,0.448,1.4,4.7,0.306,4.8,9.2,0.521,0.5,2.6,3.9,0.674,1.6,6.6,8.2,2.2,1.1,1.5,2.2,2.6,16.6,"",0,NA
130,"Brandon Miller",23,"CHO",NA,NA,"SF","SF",43,43,1,1292,8.6,20.2,0.426,3.7,10,0.372,4.9,10.2,0.478,0.518,4,4.6,0.884,1.3,4.3,5.6,4.1,1.3,1,3.5,3.3,25,"",0,NA
131,"Jerami Grant",31,"POR","West","Northwest","PF","PF",44,25,0.568,1290,7,15.9,0.444,2.8,7.3,0.383,4.2,8.6,0.495,0.532,6.2,7.5,0.829,1.2,3.2,4.4,2.8,0.8,0.8,2.5,3.1,23.1,"",0,NA
132,"Egor Dёmin",19,"BRK","East","Atlantic","PG","PG",51,44,0.863,1287,5,12.4,0.398,3.4,8.9,0.386,1.5,3.5,0.429,0.536,1.5,1.8,0.831,0.6,4,4.6,4.8,1.2,0.5,2.4,2.5,14.9,"",0,NA
134,"Maxime Raynaud",22,"SAC","West","Pacific","C","C",53,35,0.66,1281,6.5,11.8,0.552,0.3,1.2,0.25,6.2,10.6,0.588,0.565,2.1,2.6,0.777,2.9,7.6,10.4,1.7,0.7,0.7,1.4,3.5,15.4,"",0,NA
135,"Draymond Green",35,"GSW","West","Pacific","PF","PF",48,48,1,1279,4.2,10.2,0.41,2,6.2,0.32,2.2,3.9,0.554,0.508,1.2,1.6,0.707,1,6.6,7.7,6.9,1.1,0.9,3.6,4,11.5,"",0,NA
138,"Cedric Coward",22,"MEM","West","Southwest","SG","SG",48,35,0.729,1263,6.6,14.2,0.468,2,6,0.34,4.6,8.2,0.561,0.539,2.9,3.4,0.843,1.9,6.7,8.5,4,0.8,0.5,2.4,2.7,18.2,"",0,NA
140,"Terance Mann",29,"BRK","East","Atlantic","SG","SG",50,42,0.84,1245,4,8.8,0.461,1.3,3.6,0.365,2.7,5.1,0.528,0.536,1.6,2,0.8,1.6,3,4.6,4.7,1,0.3,1.7,3.5,11,"",0,NA
141,"Jock Landale",30,"MEM","West","Southwest","C","C",45,25,0.556,1060,6.8,13.2,0.514,1.7,4.4,0.38,5.1,8.8,0.581,0.577,2,3,0.674,4.8,5.1,9.9,2.5,0.8,0.7,1.6,3.5,17.3,"",0,NA
143,"Kel'el Ware",21,"MIA","East","Southeast","C","C",56,29,0.518,1230,7.4,14.1,0.526,1.9,4.7,0.404,5.5,9.4,0.587,0.593,1.8,2.3,0.779,5,10.2,15.2,0.9,1.2,1.6,1.3,2.5,18.5,"",0,NA
146,"Zach LaVine",30,"SAC","West","Pacific","SG","SG",39,37,0.949,1224,7.7,16.1,0.479,2.9,7.5,0.39,4.8,8.6,0.556,0.569,3.7,4.2,0.88,0.2,2.9,3.2,2.6,0.8,0.3,2.2,2.4,22,"",0,NA
148,"Stephen Curry",37,"GSW","West","Pacific","PG","PG",39,39,1,1222,10.3,21.9,0.468,5.2,13.2,0.391,5.1,8.7,0.584,0.585,5.6,6,0.931,0.5,3.6,4.1,5.6,1.3,0.5,3.3,2.2,31.3,"AS",1,NA
149,"Jay Huff",27,"IND","East","Central","C","C",60,36,0.6,1217,5.8,12.3,0.47,2.4,7.8,0.307,3.4,4.5,0.752,0.567,1.8,2.1,0.845,1.6,5.1,6.7,2.4,1,3.4,1.4,4.3,15.8,"",0,NA
150,"Josh Giddey",23,"CHI","East","Central","PG","PG",39,36,0.923,1215,7.1,15.5,0.457,2,5.3,0.367,5.1,10.2,0.504,0.52,4.4,5.7,0.763,1.4,7.9,9.2,9.7,1.1,0.4,4.1,1.9,20.5,"",0,NA
151,"Pelle Larsson",24,"MIA","East","Southeast","SG","SG",49,36,0.735,1213,5.3,10.7,0.499,1.3,4,0.326,4,6.7,0.602,0.56,2.9,3.8,0.766,1.2,3.7,5,4.9,1,0.4,1.8,2.8,14.9,"",0,NA
152,"Kelly Oubre Jr.",30,"PHI","East","Atlantic","SF","SF",37,32,0.865,1208,5.6,12,0.469,2.1,5.5,0.376,3.5,6.5,0.548,0.556,2.7,3.5,0.763,1,4.2,5.2,1.9,1.5,0.6,1.5,2.9,16,"",0,NA
155,"Jimmy Butler",36,"GSW","West","Pacific","SF","SF",38,38,1,1182,7.3,14.1,0.519,1,2.6,0.376,6.3,11.5,0.552,0.554,7.6,8.7,0.864,2.7,3.7,6.4,5.6,1.7,0.2,1.8,1.4,23.1,"",0,NA
157,"De'Andre Hunter",28,"2TM",NA,NA,"SF","SF",45,25,0.556,1176,6.4,15.3,0.415,2.3,7.5,0.305,4.1,7.8,0.522,0.49,3.8,4.4,0.867,0.9,4.7,5.7,2.8,0.9,0.2,2.3,3.4,18.8,"",0,NA
157,"De'Andre Hunter",28,"CLE","East","Central","SF","SF",43,23,0.535,1125,6.5,15.4,0.423,2.3,7.6,0.308,4.2,7.8,0.535,0.499,3.8,4.4,0.869,0.9,4.9,5.8,2.8,1,0.2,2.3,3.4,19.2,"",0,NA
157,"De'Andre Hunter",28,"SAC","West","Pacific","SF","SF",2,2,1,51,2.8,13.4,0.211,1.4,6.4,0.222,1.4,7.1,0.2,0.263,3.5,4.2,0.833,0.7,1.4,2.1,0.7,0,0,2.8,3.5,10.6,"",0,NA
158,"Spencer Jones",24,"DEN","West","Northwest","SF","SF",50,34,0.68,1171,3.3,6.5,0.505,1.6,3.8,0.415,1.7,2.7,0.629,0.625,0.9,1.4,0.617,1.7,3.3,5,1.3,1.3,0.7,0.8,4.3,9,"",0,NA
160,"Dominick Barlow",22,"PHI","East","Atlantic","PF","PF",48,41,0.854,1162,4.8,8.8,0.547,0.6,2,0.288,4.2,6.8,0.626,0.581,2,2.7,0.733,3.1,4,7.2,1.7,1.4,1,1.1,3,12.2,"",0,NA
161,"Alex Sarr",20,"WAS","East","Southeast","C","C",41,41,1,1156,8.9,17.9,0.496,1.2,3.7,0.336,7.6,14.2,0.537,0.53,2.9,4.2,0.691,3,6.9,9.9,3.6,1.1,2.6,2.2,2.6,21.9,"",0,NA
162,"Tobias Harris",33,"DET","East","Central","PF","PF",41,41,1,1149,6.1,13.6,0.447,1.7,5,0.344,4.4,8.6,0.507,0.51,2.9,3.3,0.867,1.2,5.5,6.7,3,1.1,0.3,1.4,2.2,16.7,"",0,NA
163,"Grayson Allen",30,"PHO","West","Pacific","SG","SG",38,26,0.684,1148,6.8,16.6,0.408,4,11.2,0.36,2.8,5.4,0.509,0.529,3.3,3.8,0.861,0.8,2.9,3.7,4.7,1.6,0.4,2,2.6,20.9,"",0,NA
164,"Zaccharie Risacher",20,"ATL","East","Southeast","SF","SF",47,45,0.957,1141,5.9,13.4,0.44,2.2,6.3,0.345,3.7,7.1,0.524,0.521,1.2,2.1,0.585,1.4,4,5.4,2,1.3,0.8,1.4,3.2,15.2,"",0,NA
167,"Precious Achiuwa",26,"SAC","West","Pacific","C","C",53,37,0.698,1123,5.9,11.3,0.517,0.6,2,0.328,5.2,9.4,0.556,0.545,1.3,2.5,0.532,3.6,6.3,9.9,2.1,1.6,1,1.3,2.9,13.7,"",0,NA
173,"Tre Johnson",19,"WAS","East","Southeast","SG","SG",45,27,0.6,1099,6.8,15.6,0.44,2.9,7.8,0.376,3.9,7.8,0.504,0.534,2.1,2.4,0.903,0.8,3.3,4,3.1,0.9,0.5,2.1,2.6,18.7,"",0,NA
174,"Svi Mykhailiuk",28,"UTA","West","Northwest","SF","SF",47,41,0.872,1097,5.2,10.8,0.477,2.8,7,0.399,2.4,3.8,0.621,0.606,0.8,0.9,0.923,1.1,2.7,3.8,2.9,0.8,0.1,1.2,2,13.9,"",0,NA
175,"Ryan Kalkbrenner",24,"CHO",NA,NA,"C","C",48,30,0.625,1096,5.4,7.1,0.759,0,0.1,0,5.4,7,0.766,0.759,2,2.9,0.69,4.1,5.4,9.5,1.2,0.9,2.3,1.6,2.5,12.7,"",0,NA
180,"Dean Wade",29,"CLE","East","Central","PF","PF",48,27,0.562,1087,3.2,7.5,0.427,2,5.4,0.36,1.2,2,0.607,0.558,0.9,1.3,0.711,1.4,5.3,6.7,2.5,1.3,0.7,0.5,2.5,9.2,"",0,NA
182,"Jusuf Nurkić",31,"UTA","West","Northwest","C","C",41,36,0.878,1083,6,11.9,0.503,0.8,2.4,0.352,5.2,9.5,0.54,0.538,2.1,3.8,0.549,3.5,10.6,14.1,6.5,1.7,0.7,3.4,4.5,14.9,"",0,NA
183,"Kevin Porter Jr.",25,"MIL","East","Central","PG","PG",32,30,0.938,1081,7,14.8,0.473,1.4,4.4,0.326,5.6,10.4,0.535,0.521,4,4.6,0.87,1,4.5,5.5,8.1,2.4,0.5,3.2,2.3,19.4,"",0,NA
184,"Josh Okogie",27,"HOU","West","Southwest","SG","SG",55,29,0.527,1079,3.5,7.9,0.439,1.7,4.4,0.397,1.7,3.5,0.491,0.549,1.1,1.9,0.596,2.1,3.1,5.2,1.6,1.7,0.4,1.2,2.9,9.8,"",0,NA
185,"Cameron Johnson",29,"DEN","West","Northwest","SF","SF",35,35,1,1077,4.6,10.2,0.457,2.2,5.2,0.42,2.4,4.9,0.497,0.566,2.2,2.6,0.844,0.9,3.4,4.3,2.7,0.8,0.3,1,2.6,13.7,"",0,NA
186,"Bennedict Mathurin",23,"2TM",NA,NA,"SF","SF",34,25,0.735,1077,6.4,15,0.428,2.1,6,0.35,4.3,9,0.48,0.498,5.8,6.7,0.874,1,5.2,6.3,2.8,0.9,0.2,2.6,3.3,20.8,"",0,NA
186,"Bennedict Mathurin",23,"IND","East","Central","SF","SF",28,24,0.857,891,6.3,14.5,0.433,2.3,6.3,0.372,3.9,8.2,0.48,0.514,5.2,5.9,0.884,0.9,5.2,6.1,2.5,0.7,0.2,2.6,3.1,20.1,"",0,NA
188,"Austin Reaves",27,"LAL","West","Pacific","SG","SG",32,26,0.812,1075,8.2,16.3,0.502,2.6,7.1,0.373,5.5,9.2,0.602,0.583,7.4,8.5,0.874,0.7,4.6,5.3,5.9,1.1,0.3,3.5,2.3,26.4,"",0,NA
190,"Herbert Jones",27,"NOP","West","Southwest","SF","SF",37,37,1,1069,4,10.5,0.386,1.7,5.6,0.297,2.4,4.9,0.486,0.465,1.3,1.6,0.813,1,3.2,4.3,3.4,2.1,0.6,1.7,4,11,"",0,NA
201,"RJ Barrett",25,"TOR","East","Atlantic","SF","SF",35,35,1,1032,7.8,16.8,0.468,2.1,6.1,0.341,5.8,10.6,0.541,0.53,4.1,5.8,0.707,1.1,5.5,6.6,4.3,1,0.3,2.1,3,21.9,"",0,NA
202,"Joel Embiid",31,"PHI","East","Atlantic","C","C",33,33,1,1029,10.4,21,0.495,1.5,4.6,0.318,8.9,16.4,0.545,0.53,8.5,9.9,0.858,2.3,6.4,8.7,4.5,0.7,1.2,3.4,2.4,30.7,"",0,NA
205,"Quinten Post",25,"GSW","West","Pacific","PF","PF",58,32,0.552,1002,5.9,13.5,0.435,3,8.8,0.341,2.9,4.7,0.611,0.546,1,1.3,0.8,2,6.3,8.4,2.9,0.9,1,1.6,4.1,15.8,"",0,NA
208,"Bilal Coulibaly",21,"WAS","East","Southeast","SG","SG",38,38,1,992,4.7,11.5,0.406,1.2,4.5,0.272,3.4,7,0.492,0.459,3.3,4.3,0.756,1.2,4.8,6,3.5,2,1.4,2,3.4,13.9,"",0,NA
209,"Aaron Nesmith",26,"IND","East","Central","SF","SF",33,30,0.909,991,5.2,13.5,0.386,2.8,7.5,0.367,2.5,6,0.41,0.488,2.7,3.2,0.82,1.5,4.1,5.6,2.5,0.8,0.7,1.7,3.2,15.9,"",0,NA
212,"Khris Middleton",34,"2TM",NA,NA,"SF","SF",40,38,0.95,975,5.9,13.2,0.444,1.5,4.4,0.342,4.4,8.8,0.496,0.501,2.9,3.4,0.859,1.5,4.5,6,4.7,1.1,0.3,2.5,3.6,16.2,"",0,NA
212,"Khris Middleton",34,"WAS","East","Southeast","SF","SF",34,34,1,827,5.7,13.1,0.433,1.4,4.3,0.333,4.2,8.7,0.483,0.488,2.5,3,0.841,1.3,4.5,5.8,4.8,1.1,0.4,2.5,3.7,15.3,"",0,NA
212,"Khris Middleton",34,"DAL","West","Southwest","SF","SF",6,4,0.667,148,7.1,14.1,0.5,1.9,5.1,0.381,5.1,9,0.568,0.569,5.1,5.6,0.913,2.4,4.6,7.1,4.1,1,0,2.7,2.7,21.2,"",0,NA
217,"Tari Eason",24,"HOU","West","Southwest","PF","PF",36,22,0.611,941,6,13.6,0.445,2.8,6.5,0.432,3.3,7.1,0.457,0.548,1,1.5,0.684,2.6,6,8.6,2.2,1.8,0.8,2.2,3.1,15.9,"",0,NA
225,"Sam Merrill",29,"CLE","East","Central","SG","SG",36,24,0.667,915,6.1,12.7,0.481,4.7,10.3,0.46,1.4,2.5,0.571,0.667,1.4,1.7,0.837,0.9,2.4,3.3,3.1,0.7,0.2,1.3,3.5,18.4,"",0,NA
226,"Jalen Suggs",24,"ORL","East","Southeast","PG","PG",35,34,0.971,913,6.6,15.1,0.438,2.6,8.1,0.327,4,7.1,0.564,0.525,2.9,3.4,0.839,0.9,4.4,5.4,7.3,2.7,1.1,3.5,3.7,18.8,"",0,NA
234,"Franz Wagner",24,"ORL","East","Southeast","SF","SF",28,26,0.929,891,8.3,17.3,0.479,1.7,4.6,0.365,6.6,12.6,0.521,0.528,5.8,7,0.828,1.7,4.8,6.5,4.1,1.2,0.4,1.9,2.5,24.1,"",0,NA
235,"Jrue Holiday",35,"POR","West","Northwest","PG","PG",31,29,0.935,883,7.3,16.3,0.449,2.9,7.9,0.361,4.4,8.4,0.532,0.536,2.2,2.7,0.815,2,3.8,5.7,8,1.5,0.1,3.5,2.1,19.6,"",0,NA
237,"Daniel Gafford",27,"DAL","West","Southwest","C","C",41,31,0.756,876,5.2,8.4,0.623,0,0,NA,5.2,8.4,0.623,0.623,3.1,4.2,0.752,3.6,7.2,10.8,1.6,1.4,2.2,2.1,4.6,13.6,"",0,NA
238,"Giannis Antetokounmpo",31,"MIL","East","Central","PF","PF",30,30,1,876,12.9,20,0.645,0.6,1.6,0.395,12.3,18.5,0.666,0.66,8.1,12.2,0.658,3.5,8.9,12.4,6.9,1.1,0.9,4.1,3.2,34.5,"AS",1,NA
239,"Coby White",25,"2TM",NA,NA,"SG","SG",31,26,0.839,875,7.3,16.9,0.434,3,8.9,0.343,4.3,8,0.536,0.524,5.2,6.5,0.799,0.3,4.3,4.6,6,0.9,0.1,3.7,3,22.9,"",0,NA
239,"Coby White",25,"CHI","East","Central","SG","SG",29,26,0.897,843,7.3,16.8,0.438,3.1,8.9,0.346,4.3,7.9,0.541,0.529,5.3,6.6,0.805,0.3,4.3,4.6,5.8,0.9,0.1,3.8,3,23.1,"",0,NA
240,"Andre Drummond",32,"PHI","East","Atlantic","C","C",44,22,0.5,868,4.9,9.8,0.5,0.8,2.3,0.364,4.1,7.5,0.541,0.542,1.8,2.9,0.623,6.2,9.6,15.8,1.7,1,1.6,1.8,3.6,12.4,"",0,NA
243,"Isaiah Hartenstein",27,"OKC","West","Northwest","C","C",33,32,0.97,848,6.3,9.8,0.645,0,0.2,0,6.3,9.6,0.659,0.645,2.3,3.7,0.628,4.7,8.7,13.3,4.9,1.4,1,2.8,3.8,14.9,"",0,NA
247,"Paul George",35,"PHI","East","Atlantic","PF","PF",27,27,1,824,6.6,15.5,0.424,2.9,7.6,0.382,3.7,7.9,0.464,0.517,2.8,3.3,0.855,0.6,5.5,6.1,4.4,1.7,0.6,1.9,2.6,18.8,"",0,NA
255,"Keegan Murray",25,"SAC","West","Pacific","PF","PF",23,22,0.957,793,5.7,13.6,0.42,1.4,5.1,0.277,4.3,8.5,0.505,0.472,1.7,2.2,0.776,1.5,4.5,6,1.7,1.1,1.6,1.2,1.9,14.6,"",0,NA
257,"Darius Garland",26,"CLE","East","Central","PG","PG",26,26,1,792,7.7,17.1,0.451,2.7,7.5,0.36,5,9.7,0.521,0.529,3.1,3.6,0.861,0.5,2.3,2.9,8.2,1,0.1,3.3,2.2,21.2,"",0,NA
267,"Jalen Williams",24,"OKC","West","Northwest","SG","SG",26,26,1,755,8.3,17.4,0.479,1,3.1,0.313,7.4,14.4,0.515,0.507,4.1,4.9,0.833,0.8,5,5.8,6.7,1.6,0.4,2.4,2.6,21.7,"",0,NA
285,"Christian Braun",24,"DEN","West","Northwest","SG","SG",23,23,1,700,4.5,9.2,0.494,0.8,2.9,0.281,3.7,6.2,0.595,0.539,2,2.6,0.765,1.9,3.5,5.3,3.4,0.8,0.4,1.4,2.8,11.9,"",0,NA
289,"Derrick Jones Jr.",28,"LAC","West","Pacific","SF","SF",26,21,0.808,682,5.4,10.3,0.526,1.7,4.6,0.368,3.7,5.8,0.651,0.607,2.1,2.8,0.755,1.2,2.5,3.7,1.8,1.2,1.5,1.1,2.7,14.7,"",0,NA
294,"Jaden Ivey",23,"CHI","East","Central","SG","SG",4,3,0.75,115,4.7,11.3,0.417,2.5,6.6,0.381,2.2,4.7,0.467,0.528,2.5,2.8,0.889,1.6,4.4,5.9,5,2.5,0.6,1.9,2.8,14.4,"",0,NA
297,"Johnny Furphy",21,"IND","East","Central","SG","SG",35,21,0.6,643,3.9,8.3,0.47,1.3,4,0.324,2.6,4.4,0.603,0.547,1,2,0.486,1.8,6.8,8.6,2.3,1.1,0.4,1.6,3.6,10.1,"",0,NA
299,"Aaron Gordon",30,"DEN","West","Northwest","PF","PF",23,20,0.87,642,7.8,15.3,0.509,2.4,5.9,0.4,5.4,9.4,0.577,0.586,4.8,6.1,0.789,1.7,6.3,8,3.3,0.9,0.2,1.3,2.1,22.8,"",0,NA
